Mês,Semana,Tema / Conteúdo,ADS
Jul 2026,S3,📡 Webinar Descartáveis [D-3 — 18/07] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Jul 2026,S4,Dia do Vira-lata (31/07): Respeito à raça,Não
Jul 2026,S4,Conceito: O DNA que entende o veterinário,Não
Jul 2026,S4,📡 Webinar Descartáveis [D-0 — 21/07] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Ago 2026,S1,📡 Webinar BS680 [D-20 — 05/08] — Story: Webinar em 20 dias! TIVA para todos — bomba de seringa que democratizou a anestesia,Não
Ago 2026,S1,PET VET Expo: Post Convite — Estande e localização [01/08],Sim
Ago 2026,S1,PET VET Expo: Falta 1 semana para o evento! [05/08],Sim
Ago 2026,S1,Dia Mundial do Gato (08/08): Tecnologia felina,Não
Ago 2026,S1,Dia dos Pais (09/08 — Pet Dads): Cuidando de quem ama,Não
Ago 2026,S2,PET VET Expo: Começa amanhã — nos vemos lá! [11/08],Sim
Ago 2026,S2,📡 Webinar BS680 [D-17 — 08/08] — Story: Salve a data! 25/08 às 20h — TIVA acessível para qualquer clínica,Não
Ago 2026,S2,PET VET Expo: Dia 1 — ao vivo [12/08] (material avulso),Sim
Ago 2026,S2,📡 Webinar BS680 [D-13 — 12/08] — Story: Faltam 13 dias para o webinar BS680 — inscreva-se gratuitamente,Não
Ago 2026,S2,PET VET Expo: Dia 2 — ao vivo [13/08] (material avulso),Sim
Ago 2026,S2,PET VET Expo: Dia 3 — ao vivo [14/08] (material avulso),Sim
Ago 2026,S3,📡 Webinar BS680 [D-10 — 15/08] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não
Ago 2026,S3,Insumos: Por que usar seringas de precisão?,Sim
Ago 2026,S3,Bomba TCI: Redução de riscos cirúrgicos,Sim
Ago 2026,S3,ELASTOVET (pós-feira): Conheça a bomba ELASTOvet,Sim
Ago 2026,S3,📡 Webinar BS680 [D-7 — 18/08] — Feed: Salve a data! 25/08 às 20h — TIVA para todos: anestesia de qualidade sem pesar no bolso,Sim
Ago 2026,S4,Dia Mundial do Cachorro (26/08): Segurança Laslo,Não
Ago 2026,S4,Antecipação: Dia do Médico Veterinário — setembro,Sim
Ago 2026,S4,ELASTOVET #4 — Reel: Depoimento Dr. Marco,Não
Ago 2026,S4,📡 Webinar BS680 [D-3 — 22/08] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Ago 2026,S4,📡 Webinar BS680 [D-0 — 25/08] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Set 2026,S1,Dia do Médico Veterinário (09/09): Nossa homenagem,Sim
Set 2026,S1,Dia do Cliente (15/09): Foco Clube Laslo,Não
Set 2026,S2,📡 Webinar Elastovet [D-20 — 09/09] — Story: Webinar em 20 dias! Pós-operatório domiciliar com infusão contínua — como?,Não
Set 2026,S2,Insumos: Descartáveis,Sim
Set 2026,S2,Bomba TCI: Alvo-controle para procedimentos longos,Sim
Set 2026,S2,📡 Webinar Elastovet [D-17 — 12/09] — Story: Salve a data! 29/09 às 20h — o pós-op que libera o animal para casa,Não
Set 2026,S3,Clube Laslo: Parcerias com grandes distribuidores,Não
Set 2026,S3,Conceito: Confiança se constrói com qualidade,Não
Set 2026,S3,📡 Webinar Elastovet [D-13 — 16/09] — Story: Seu paciente realmente precisa ficar internado para infusão contínua? Faltam 13 dias,Não
Set 2026,S3,📡 Webinar Elastovet [D-10 — 19/09] — Story: Faltam 10 dias — link na bio para se inscrever gratuitamente,Não
Set 2026,S4,Bomba TCI: Precisão que o seu Pet merece,Sim
Set 2026,S4,Antecipação: CBAV Salvador — data a confirmar,Não
Set 2026,S4,ELASTOVET #5 — Reel: FAQ — O animal pode ir para casa?,Não
Set 2026,S4,📡 Webinar Elastovet [D-7 — 22/09] — Feed: Salve a data! 29/09 às 20h — Pós-operatório domiciliar com controle da dor 24h,Sim
Set 2026,S4,📡 Webinar Elastovet [D-3 — 26/09] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Set 2026,S5,📡 Webinar Elastovet [D-0 — 29/09] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Set 2026,S5,📡 Webinar BSVET TCI [D-20 — 30/09] — Story: Webinar em 20 dias! Anestesia alvo-controlada — você está pronto para a revolução?,Não
Out 2026,S1,Dia do Vendedor (01/10): Homenagem ao time,Não
Out 2026,S1,Dia Mundial dos Animais (04/10): Proteção,Não
Out 2026,S1,📡 Webinar BSVET TCI [D-17 — 03/10] — Story: Salve a data! 20/10 às 20h — TCI: o futuro (obrigatório) da sua rotina,Não
Out 2026,S2,📡 Webinar BSVET TCI [D-13 — 07/10] — Story: Você ainda faz cálculos na mão? Faltam 13 dias para o webinar TCI,Não
Out 2026,S2,Foco: Dia do Anestesista (16/10) — Bomba TCI,Sim
Out 2026,S2,Dia do Balconista (30/10): Parceiros comerciais,Não
Out 2026,S2,📡 Webinar BSVET TCI [D-10 — 10/10] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não
Out 2026,S3,Antecipação: Faltam ~27 dias para Feira PetNor 15–17/11,Sim
Out 2026,S3,Insumos: Não aceite equipamentos sem registro,Sim
Out 2026,S3,📡 Webinar BSVET TCI [D-7 — 13/10] — Feed: Salve a data! 20/10 às 20h — Anestesia alvo-controlada: você está pronto para a revolução?,Sim
Out 2026,S3,📡 Webinar BSVET TCI [D-3 — 17/10] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Out 2026,S4,Antecipação: Prepare-se para a BLACK FRIDAY,Sim
Out 2026,S4,Bomba TCI: Upgrade técnico para sua clínica,Sim
Out 2026,S4,📡 Webinar BSVET TCI [D-0 — 20/10] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Nov 2026,S1,Evento: Cobertura Feira PetNor 15–17/11,Sim
Nov 2026,S1,Insumos: O diferencial da precisão Laslo,Não
Nov 2026,S1,📡 Webinar BVVET [D-20 — 04/11] — Story: Webinar em 20 dias! Erros em bombas de infusão que colocam pacientes em risco,Não
Nov 2026,S1,📡 Webinar BVVET [D-17 — 07/11] — Story: Salve a data! 24/11 às 20h — erros comuns que você pode estar cometendo,Não
Nov 2026,S2,Black Friday: Foco em resultados e ROI,Sim
Nov 2026,S2,Cobertura PETNOR,Não
Nov 2026,S2,📡 Webinar BVVET [D-13 — 11/11] — Story: Seu paciente nefropata está recebendo hidratação com a precisão certa? Faltam 13 dias,Não
Nov 2026,S2,📡 Webinar BVVET [D-10 — 14/11] — Story: Faltam 10 dias — link na bio para se inscrever gratuitamente,Não
Nov 2026,S3,CAMPANHA: SEMANA BLACK FRIDAY LASLO,Sim
Nov 2026,S3,Clube Laslo: Pontuação em dobro na Black,Sim
Nov 2026,S3,📡 Webinar BVVET [D-7 — 17/11] — Feed: Salve a data! 24/11 às 20h — Erros comuns em bombas de infusão (vagas limitadas),Sim
Nov 2026,S3,📡 Webinar BVVET [D-3 — 21/11] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Nov 2026,S4,Resultados: O sucesso da Black Friday Laslo,Não
Nov 2026,S4,Insumos: Reposição de estoque pós-Black,Sim
Nov 2026,S4,📡 Webinar BVVET [D-0 — 24/11] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Nov 2026,S4,📡 Webinar Pedestal Roama [D-20 — 25/11] — Story: Webinar em 20 dias! Centro cirúrgico organizado — o espaço físico influencia o desfecho,Não
Nov 2026,S4,📡 Webinar Pedestal Roama [D-17 — 28/11] — Story: Salve a data! 15/12 às 20h — centro cirúrgico ou caos de fios?,Não
Dez 2026,S1,Natal: Mensagem institucional Laslo,Não
Dez 2026,S1,Clube Laslo: Premiação final do ano,Não
Dez 2026,S1,📡 Webinar Pedestal Roama [D-13 — 02/12] — Story: Fios espalhados no centro cirúrgico podem custar a vida do paciente. Faltam 13 dias,Não
Dez 2026,S1,📡 Webinar Pedestal Roama [D-10 — 05/12] — Story: Faltam 10 dias — link na bio para garantir sua vaga,Não
Dez 2026,S2,Insumos: Garantindo o cuidado nas festas,Sim
Dez 2026,S2,📡 Webinar Pedestal Roama [D-7 — 08/12] — Feed: Salve a data! 15/12 às 20h — como organizar o espaço cirúrgico para salvar vidas,Sim
Dez 2026,S2,📡 Webinar Pedestal Roama [D-3 — 12/12] — Feed: Inscrições abertas — faltam 3 dias. Link na bio.,Sim
Dez 2026,S3,Metas 2027: O nosso DNA continuará sendo VET,Não
Dez 2026,S3,Natal: Mensagem institucional Laslo,Sim
Dez 2026,S3,📡 Webinar Pedestal Roama [D-0 — 15/12] — Feed + Story: Hoje às 20h — ao vivo! Link na bio.,Sim
Dez 2026,S4,Boas Festas: Encerramento do ano estratégico,Não
Dez 2026,S4,Conceito: A Empresa que respeita o seu Pet,Não
